ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF612MNU	HepG2	ZNF511	MCF7	2959575	16434	25000	17924	2983	148
ENCFF612MQA	HepG2	ZNF260	MCF7	2959575	16434	25000	1501	274	11
ENCFF612NCS	HepG2	ZNF256	MCF7	2959575	16434	25000	7564	1411	50
ENCFF612ZUY	HepG2	CTCF	MCF7	2959575	16434	25000	43696	4981	377
ENCFF614IBI	K562	HLTF	MCF7	2959575	16434	25000	10577	1269	77
ENCFF615AKB	K562	HMGN3	MCF7	2959575	16434	25000	18214	2769	165
ENCFF615OJH	HepG2	SETDB1	MCF7	2959575	16434	25000	2486	236	21
ENCFF615SJG	HepG2	CCDC6	MCF7	2959575	16434	25000	18720	3051	160
ENCFF616FXO	HepG2	ZNF483	MCF7	2959575	16434	25000	16945	2843	133
ENCFF618JNX	MCF-7	SMARCA5	MCF7	2959575	16434	25000	11116	3441	73
ENCFF618JPG	HepG2	ZNF615	MCF7	2959575	16434	25000	6447	1188	54
ENCFF618NTX	HepG2	ZNF800	MCF7	2959575	16434	25000	19804	2646	144
ENCFF619GRL	HepG2	IRF3	MCF7	2959575	16434	25000	713	145	3
ENCFF620CHN	HepG2	DMAP1	MCF7	2959575	16434	25000	27583	4643	222
ENCFF620OUT	HepG2	NFE2L1	MCF7	2959575	16434	25000	4125	723	29
ENCFF620YHG	HepG2	MTF2	MCF7	2959575	16434	25000	10487	1476	75
ENCFF621FPC	K562	HDGF	MCF7	2959575	16434	25000	10289	1252	74
ENCFF621IOC	HepG2	ZNF83	MCF7	2959575	16434	25000	6865	1214	43
ENCFF622FUC	HepG2	ZNF503	MCF7	2959575	16434	25000	18555	2546	141
ENCFF622GUA	HepG2	DNMT1	MCF7	2959575	16434	25000	8871	1375	69
ENCFF623COM	HepG2	ZNF644	MCF7	2959575	16434	25000	24206	2224	200
ENCFF623DVC	HepG2	ZNF331	MCF7	2959575	16434	25000	32591	4410	260
ENCFF623HZY	HepG2	ZNF558	MCF7	2959575	16434	25000	12778	2113	103
ENCFF624CRN	MCF-7	MAX	MCF7	2959575	16434	25000	38359	8721	293
ENCFF624HJF	HepG2	SREBF1	MCF7	2959575	16434	25000	2839	544	28
ENCFF624JML	HepG2	ZNF146	MCF7	2959575	16434	25000	26439	967	197
ENCFF624RGO	HepG2	ETV4	MCF7	2959575	16434	25000	21807	3329	164
ENCFF624TVT	HepG2	ZNF44	MCF7	2959575	16434	25000	9845	1718	66
ENCFF624UXU	HepG2	ZHX1	MCF7	2959575	16434	25000	14364	2388	103
ENCFF625DDW	HepG2	ZNF878	MCF7	2959575	16434	25000	15451	2421	106
ENCFF625QHR	K562	NEUROD1	MCF7	2959575	16434	25000	14167	2431	119
ENCFF625WYP	HepG2	RREB1	MCF7	2959575	16434	25000	22574	3166	189
ENCFF627BHP	HepG2	AGO1	MCF7	2959575	16434	25000	13446	2055	111
ENCFF627DJP	K562	POLR3A	MCF7	2959575	16434	25000	1460	91	15
ENCFF627DNU	HepG2	ZNF20	MCF7	2959575	16434	25000	4676	918	36
ENCFF627PLM	K562	RCOR1	MCF7	2959575	16434	25000	45428	4338	365
ENCFF628ZKC	HepG2	ZNF451	MCF7	2959575	16434	25000	12847	2214	102
ENCFF629EAD	K562	ZNF41	MCF7	2959575	16434	25000	4869	616	40
ENCFF630HYZ	HepG2	KMT2B	MCF7	2959575	16434	25000	22040	3666	174
ENCFF632APE	HepG2	SMAD4	MCF7	2959575	16434	25000	44655	5138	363
ENCFF632NSF	HepG2	ZNF430	MCF7	2959575	16434	25000	22400	3403	163
ENCFF632PBR	HepG2	SKIL	MCF7	2959575	16434	25000	15851	2103	118
ENCFF634TZG	A549	HOXB5	MCF7	2959575	16434	25000	10528	2296	76
ENCFF635XBX	HepG2	PHF20	MCF7	2959575	16434	25000	17633	2961	147
ENCFF637PFI	K562	MYBL2	MCF7	2959575	16434	25000	4916	529	32
ENCFF637SIR	K562	IKZF1	MCF7	2959575	16434	25000	47714	4269	358
ENCFF639APT	HepG2	ARHGAP35	MCF7	2959575	16434	25000	10186	1799	73
ENCFF641ZFM	A549	HOXB13	MCF7	2959575	16434	25000	8246	1749	49
ENCFF642BLI	HepG2	HIC2	MCF7	2959575	16434	25000	18030	2679	143
ENCFF642XRH	HepG2	PCBP2	MCF7	2959575	16434	25000	3960	286	33
ENCFF642ZYO	K562	CCNT2	MCF7	2959575	16434	25000	22028	2823	178
ENCFF643AUL	K562	ZNF639	MCF7	2959575	16434	25000	26486	3447	241
ENCFF643FQU	HepG2	ZBTB1	MCF7	2959575	16434	25000	1930	348	14
ENCFF643LFY	HepG2	SIX4	MCF7	2959575	16434	25000	13846	1934	124
ENCFF643XUN	HepG2	FBXL19	MCF7	2959575	16434	25000	14036	2196	111
ENCFF644EPI	HepG2	KMT2A	MCF7	2959575	16434	25000	23021	3550	169
ENCFF645BZY	HepG2	ZNF784	MCF7	2959575	16434	25000	14713	2332	118
ENCFF645IVF	K562	CHCHD3	MCF7	2959575	16434	25000	2287	533	19
ENCFF645VCZ	HepG2	ZNF446	MCF7	2959575	16434	25000	9847	1532	75
ENCFF647CDO	HepG2	BRF2	MCF7	2959575	16434	25000	10803	1846	99
ENCFF647OBG	HepG2	MEIS2	MCF7	2959575	16434	25000	20927	3086	151
ENCFF647VJL	HepG2	HOXD1	MCF7	2959575	16434	25000	13894	2159	111
ENCFF648ORA	K562	ZNF281	MCF7	2959575	16434	25000	40325	3440	320
ENCFF648UJW	K562	CLOCK	MCF7	2959575	16434	25000	1934	246	22
ENCFF649UCX	K562	ZNF354B	MCF7	2959575	16434	25000	4180	243	43
ENCFF650DWZ	K562	ZNF121	MCF7	2959575	16434	25000	25133	561	195
ENCFF651OAU	HepG2	TCF12	MCF7	2959575	16434	25000	13079	1956	113
ENCFF652DIB	A549	MAZ	MCF7	2959575	16434	25000	3642	1107	37
ENCFF652ELW	HepG2	USF2	MCF7	2959575	16434	25000	7999	886	63
ENCFF652FKO	HepG2	GABPA	MCF7	2959575	16434	25000	25528	3646	211
ENCFF652ZEN	K562	SFPQ	MCF7	2959575	16434	25000	237	47	1
ENCFF652ZZF	K562	HDAC2	MCF7	2959575	16434	25000	29967	3058	235
ENCFF653ABW	K562	ZNF511	MCF7	2959575	16434	25000	11622	1878	107
ENCFF653DNY	K562	ZNF317	MCF7	2959575	16434	25000	13307	1363	105
ENCFF656HFI	A549	PBX3	MCF7	2959575	16434	25000	9557	2195	57
ENCFF656THP	K562	SNAPC5	MCF7	2959575	16434	25000	643	44	6
ENCFF656VUG	HepG2	HNRNPL	MCF7	2959575	16434	25000	24684	3402	214
ENCFF657CNH	HepG2	SYNCRIP	MCF7	2959575	16434	25000	33	0	0
ENCFF657ZXY	HepG2	ZNF207	MCF7	2959575	16434	25000	1388	85	12
ENCFF658HLG	A549	JUND	MCF7	2959575	16434	25000	21667	4186	160
ENCFF659FLZ	HepG2	GATAD2B	MCF7	2959575	16434	25000	18774	2596	133
ENCFF659PQJ	HepG2	DDIT3	MCF7	2959575	16434	25000	1860	369	8
ENCFF660DEP	K562	NCOA1	MCF7	2959575	16434	25000	13043	1655	99
ENCFF661EUX	K562	RFX5	MCF7	2959575	16434	25000	2632	404	28
ENCFF661VXV	MCF-7	HDAC2	MCF7	2959575	16434	25000	20959	5520	154
ENCFF663KMO	HepG2	ZNF788	MCF7	2959575	16434	25000	26432	4006	201
ENCFF663PTR	HepG2	KLF15	MCF7	2959575	16434	25000	6361	1203	36
ENCFF666ISN	HepG2	PRDM4	MCF7	2959575	16434	25000	2698	542	24
