ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF099RDJ	K562	PKNOX1	HepG2	2959575	15836	25000	48726	1750	402
ENCFF099SDO	HepG2	ZFX	HepG2	2959575	15836	25000	50692	7995	391
ENCFF101DBG	K562	TAL1	HepG2	2959575	15836	25000	26007	940	222
ENCFF101SEZ	K562	SRF	HepG2	2959575	15836	25000	5318	238	45
ENCFF102ZOU	HepG2	CHD2	HepG2	2959575	15836	25000	6944	875	47
ENCFF102ZUM	HepG2	THRB	HepG2	2959575	15836	25000	16253	4875	128
ENCFF103YZQ	K562	GABPB2	HepG2	2959575	15836	25000	1432	73	18
ENCFF104XLA	HepG2	ZNF234	HepG2	2959575	15836	25000	5813	490	33
ENCFF105VCL	HepG2	SIN3B	HepG2	2959575	15836	25000	5722	611	47
ENCFF106ECV	K562	ESRRB	HepG2	2959575	15836	25000	999	61	10
ENCFF107EWI	A549	REST	HepG2	2959575	15836	25000	19366	1719	144
ENCFF108LBD	HepG2	SMAD7	HepG2	2959575	15836	25000	30671	5052	242
ENCFF108PPK	HepG2	ZNF510	HepG2	2959575	15836	25000	10865	2140	82
ENCFF109ADF	A549	FOXF2	HepG2	2959575	15836	25000	9379	1261	74
ENCFF110GDP	K562	ZNF282	HepG2	2959575	15836	25000	9608	493	78
ENCFF110HVI	K562	TRIM25	HepG2	2959575	15836	25000	4899	226	43
ENCFF110MJW	HepG2	SIN3A	HepG2	2959575	15836	25000	21950	2924	168
ENCFF110OZO	A549	SP1	HepG2	2959575	15836	25000	43366	4121	321
ENCFF112JVK	MCF-7	FOXA1	HepG2	2959575	15836	25000	37406	1865	308
ENCFF113LBV	K562	KAT8	HepG2	2959575	15836	25000	1310	73	7
ENCFF114SGL	HepG2	TOPORS	HepG2	2959575	15836	25000	13290	2376	86
ENCFF115ENN	HepG2	ZNF576	HepG2	2959575	15836	25000	5507	641	37
ENCFF115KRO	MCF-7	E2F1	HepG2	2959575	15836	25000	34683	1434	274
ENCFF115WXJ	MCF-7	NONO	HepG2	2959575	15836	25000	2157	75	15
ENCFF117XRE	K562	ZMYM3	HepG2	2959575	15836	25000	40976	882	354
ENCFF118GMS	K562	CREB3L1	HepG2	2959575	15836	25000	17206	860	118
ENCFF119AHD	K562	MAFF	HepG2	2959575	15836	25000	27899	824	241
ENCFF119UOZ	HepG2	ZNF232	HepG2	2959575	15836	25000	16491	3178	124
ENCFF120BVS	HepG2	ZNF221	HepG2	2959575	15836	25000	23489	4792	165
ENCFF122FTW	K562	STAT5B	HepG2	2959575	15836	25000	608	26	10
ENCFF123EUU	K562	IRF1	HepG2	2959575	15836	25000	14203	563	99
ENCFF123FQW	HepG2	HNF4G	HepG2	2959575	15836	25000	24929	6992	200
ENCFF123IHX	K562	CAMTA2	HepG2	2959575	15836	25000	2397	115	17
ENCFF124FTW	K562	BCOR	HepG2	2959575	15836	25000	41127	1256	349
ENCFF124KCE	K562	ZBTB43	HepG2	2959575	15836	25000	5010	211	33
ENCFF124UUN	HepG2	KLF12	HepG2	2959575	15836	25000	15088	2242	127
ENCFF125ABN	HepG2	NR2F1	HepG2	2959575	15836	25000	14098	4021	111
ENCFF125GZU	K562	SOX6	HepG2	2959575	15836	25000	33001	1673	285
ENCFF125JED	A549	FOXA1	HepG2	2959575	15836	25000	33937	3616	284
ENCFF127ZZG	HepG2	NFIB	HepG2	2959575	15836	25000	2456	299	18
ENCFF128AZO	HepG2	TEAD1	HepG2	2959575	15836	25000	35111	8650	295
ENCFF128YWS	K562	MLX	HepG2	2959575	15836	25000	3313	117	27
ENCFF129FEV	A549	MAFK	HepG2	2959575	15836	25000	61032	1699	535
ENCFF129SBX	HepG2	HCFC1	HepG2	2959575	15836	25000	6433	432	46
ENCFF130JVF	K562	BRD4	HepG2	2959575	15836	25000	9338	575	86
ENCFF130LVT	HepG2	NFE2L2	HepG2	2959575	15836	25000	10440	1244	85
ENCFF130OKL	HepG2	ZNF217	HepG2	2959575	15836	25000	31670	8350	243
ENCFF130WQT	K562	PHTF2	HepG2	2959575	15836	25000	1611	83	14
ENCFF130ZHU	HepG2	ZNF557	HepG2	2959575	15836	25000	8569	1929	65
ENCFF131TYZ	MCF-7	SRF	HepG2	2959575	15836	25000	10137	571	89
ENCFF132AJP	HepG2	MLX	HepG2	2959575	15836	25000	15818	5240	119
ENCFF132DPY	K562	ZBTB40	HepG2	2959575	15836	25000	5054	119	39
ENCFF132RKR	HepG2	KAT2B	HepG2	2959575	15836	25000	2597	434	15
ENCFF133TSU	K562	ELF1	HepG2	2959575	15836	25000	20735	950	169
ENCFF133VHU	HepG2	HDAC1	HepG2	2959575	15836	25000	19083	4536	154
ENCFF133ZSB	A549	FOSB	HepG2	2959575	15836	25000	6495	749	50
ENCFF134HBP	K562	U2AF2	HepG2	2959575	15836	25000	127	0	1
ENCFF135VAJ	HepG2	ZNF33B	HepG2	2959575	15836	25000	10726	1709	73
ENCFF137JHO	A549	ZFP36	HepG2	2959575	15836	25000	11348	448	75
ENCFF137OGC	K562	XRCC3	HepG2	2959575	15836	25000	1139	10	10
ENCFF137QEJ	HepG2	ZSCAN21	HepG2	2959575	15836	25000	20169	3584	167
ENCFF137ZTF	HepG2	POLR2AphosphoS5	HepG2	2959575	15836	25000	29431	4251	225
ENCFF139FEW	HepG2	ZFHX3	HepG2	2959575	15836	25000	10320	3768	97
ENCFF139FMU	K562	HCFC1	HepG2	2959575	15836	25000	13060	524	100
ENCFF139XIZ	HepG2	FUBP1	HepG2	2959575	15836	25000	4450	1095	33
ENCFF140PUO	HepG2	MAX	HepG2	2959575	15836	25000	14531	2427	100
ENCFF141CBF	MCF-7	TSC22D1	HepG2	2959575	15836	25000	5854	216	53
ENCFF141FYD	HepG2	RFX5	HepG2	2959575	15836	25000	7334	1062	78
ENCFF141HPL	K562	ZFP30	HepG2	2959575	15836	25000	875	27	6
ENCFF141IMM	HepG2	IRF9	HepG2	2959575	15836	25000	18246	2714	138
ENCFF141UZG	HepG2	ZNF543	HepG2	2959575	15836	25000	17970	3460	139
ENCFF142CUN	HepG2	ZNF496	HepG2	2959575	15836	25000	178	16	0
ENCFF142EQZ	K562	STAT2	HepG2	2959575	15836	25000	2704	176	20
ENCFF142MJD	K562	AFF4	HepG2	2959575	15836	25000	13558	573	102
ENCFF142NAV	MCF-7	NFXL1	HepG2	2959575	15836	25000	1406	54	14
ENCFF142ZTD	K562	KLF10	HepG2	2959575	15836	25000	1071	60	11
ENCFF143MEF	K562	ILK	HepG2	2959575	15836	25000	1466	68	16
ENCFF143QCD	HepG2	ZNF749	HepG2	2959575	15836	25000	11694	1961	93
ENCFF144OPN	MCF-7	HES1	HepG2	2959575	15836	25000	4749	133	38
ENCFF144ZLB	K562	TSHZ1	HepG2	2959575	15836	25000	2650	176	24
ENCFF146GZZ	K562	ZBTB33	HepG2	2959575	15836	25000	3362	93	27
ENCFF147IAH	K562	MCM2	HepG2	2959575	15836	25000	222	15	0
ENCFF148RPN	HepG2	ZBTB24	HepG2	2959575	15836	25000	1528	213	4
ENCFF148YMC	K562	SMARCE1	HepG2	2959575	15836	25000	33975	1807	271
ENCFF149QHA	HepG2	ZBTB3	HepG2	2959575	15836	25000	9664	2472	78
ENCFF150NHK	HepG2	SMARCC2	HepG2	2959575	15836	25000	2470	1169	15
ENCFF150PTQ	MCF-7	RFX1	HepG2	2959575	15836	25000	26431	1128	235
ENCFF154DSR	HepG2	ZSCAN5A	HepG2	2959575	15836	25000	12887	3168	101
ENCFF154IVU	K562	BHLHE40	HepG2	2959575	15836	25000	27825	1379	231
ENCFF154VTV	HepG2	GATA4	HepG2	2959575	15836	25000	13572	4071	109
ENCFF155CEQ	HepG2	RAD21	HepG2	2959575	15836	25000	41314	2990	365
ENCFF155LGO	A549	CEBPB	HepG2	2959575	15836	25000	17272	1703	149
ENCFF155NXO	HepG2	ZNF704	HepG2	2959575	15836	25000	11067	1378	82
ENCFF156EZP	K562	ZNF655	HepG2	2959575	15836	25000	802	32	8
ENCFF156GHD	K562	CC2D1A	HepG2	2959575	15836	25000	22681	780	187
ENCFF156UNQ	HepG2	HMG20A	HepG2	2959575	15836	25000	25843	8208	224
ENCFF158BJH	HepG2	GATAD2A	HepG2	2959575	15836	25000	55148	11916	448
ENCFF158YBV	MCF-7	GABPA	HepG2	2959575	15836	25000	4110	114	33
ENCFF159END	K562	ZNF717	HepG2	2959575	15836	25000	1552	86	17
ENCFF160KBR	MCF-7	RCOR1	HepG2	2959575	15836	25000	8286	599	66
ENCFF160TJG	MCF-7	ZBTB40	HepG2	2959575	15836	25000	14167	403	139
ENCFF161TZL	HepG2	JARID2	HepG2	2959575	15836	25000	5179	958	44
ENCFF162UZN	HepG2	ADNP	HepG2	2959575	15836	25000	7736	1608	58
ENCFF162YBD	HepG2	PROX1	HepG2	2959575	15836	25000	31404	9063	251
ENCFF163LGN	HepG2	FOXP4	HepG2	2959575	15836	25000	35681	9231	288
ENCFF164JZB	HepG2	RFX3	HepG2	2959575	15836	25000	5769	1256	59
ENCFF165EYN	HepG2	HBP1	HepG2	2959575	15836	25000	15244	3006	127
ENCFF165IYE	HepG2	PAWR	HepG2	2959575	15836	25000	3905	633	25
ENCFF165JQS	K562	ZNF778	HepG2	2959575	15836	25000	288	10	2
ENCFF165MOD	HepG2	ARID2	HepG2	2959575	15836	25000	13698	2664	102
ENCFF166QJY	HepG2	NFYA	HepG2	2959575	15836	25000	17619	3176	144
ENCFF167CQF	K562	EP400	HepG2	2959575	15836	25000	34356	1701	326
ENCFF169AWH	K562	ZNF134	HepG2	2959575	15836	25000	6646	296	49
ENCFF169BSN	A549	HDAC2	HepG2	2959575	15836	25000	4049	195	24
ENCFF169MAE	K562	NFIC	HepG2	2959575	15836	25000	51838	1666	420
ENCFF169QCM	A549	ELF1	HepG2	2959575	15836	25000	11625	1025	74
ENCFF169QYL	K562	ZNF165	HepG2	2959575	15836	25000	3471	179	30
ENCFF170GIQ	HepG2	ZNF652	HepG2	2959575	15836	25000	16066	3601	135
ENCFF171NEU	K562	SP1	HepG2	2959575	15836	25000	7890	405	64
ENCFF171VVS	HepG2	GTF2F1	HepG2	2959575	15836	25000	5982	1373	54
ENCFF172LIW	HepG2	ATF7-NPFF	HepG2	2959575	15836	25000	17541	2372	135
ENCFF173QUY	K562	E2F5	HepG2	2959575	15836	25000	5214	183	41
ENCFF174JHS	HepG2	PATZ1	HepG2	2959575	15836	25000	44192	7879	370
ENCFF175FFY	HepG2	POGZ	HepG2	2959575	15836	25000	34541	7645	278
ENCFF176MDV	K562	SAFB2	HepG2	2959575	15836	25000	63	0	1
ENCFF179LFO	HepG2	SNAI1	HepG2	2959575	15836	25000	10856	1758	86
ENCFF179WDI	A549	RFX5	HepG2	2959575	15836	25000	6460	406	68
ENCFF180KAV	K562	HEY1	HepG2	2959575	15836	25000	2703	164	15
ENCFF180WMP	HepG2	ZBTB37	HepG2	2959575	15836	25000	8181	2639	62
ENCFF180XUM	K562	ZNF3	HepG2	2959575	15836	25000	2432	102	14
ENCFF180XXZ	MCF-7	MTA2	HepG2	2959575	15836	25000	1205	35	11
ENCFF182FNR	HepG2	SAP130	HepG2	2959575	15836	25000	69977	11919	569
ENCFF184PHK	MCF-7	CUX1	HepG2	2959575	15836	25000	13440	680	116
ENCFF185KMK	K562	HMGXB4	HepG2	2959575	15836	25000	8859	269	80
ENCFF185UUT	MCF-7	ESR1	HepG2	2959575	15836	25000	22011	1433	192
ENCFF186RPU	HepG2	ZNF225	HepG2	2959575	15836	25000	12374	1322	92
ENCFF187BVL	K562	STAT5A	HepG2	2959575	15836	25000	13172	610	123
ENCFF187WJM	HepG2	ATM	HepG2	2959575	15836	25000	1266	252	7
ENCFF188PLS	K562	MECOM	HepG2	2959575	15836	25000	9833	535	85
ENCFF189OHQ	K562	EHMT2	HepG2	2959575	15836	25000	17353	627	141
ENCFF189PKJ	HepG2	ZNF883	HepG2	2959575	15836	25000	16485	1862	138
ENCFF189UXQ	HepG2	TOE1	HepG2	2959575	15836	25000	3345	293	23
ENCFF190LEQ	HepG2	GZF1	HepG2	2959575	15836	25000	9799	1738	78
ENCFF191NVV	HepG2	ETS1	HepG2	2959575	15836	25000	9317	3724	68
ENCFF192ASP	K562	ATF2	HepG2	2959575	15836	25000	41800	998	372
ENCFF192BPQ	MCF-7	ZBTB1	HepG2	2959575	15836	25000	1022	19	9
ENCFF192MEM	K562	ZNF175	HepG2	2959575	15836	25000	19009	1215	168
ENCFF193BGB	K562	ZNF397	HepG2	2959575	15836	25000	2934	194	32
ENCFF195YGC	K562	AFF1	HepG2	2959575	15836	25000	18822	933	161
ENCFF195YPT	HepG2	ZBED5	HepG2	2959575	15836	25000	4820	546	30
ENCFF197CVM	MCF-7	ZNF217	HepG2	2959575	15836	25000	27435	1606	202
ENCFF197SXI	K562	FOXA3	HepG2	2959575	15836	25000	12390	774	117
ENCFF197YSM	HepG2	KAT8	HepG2	2959575	15836	25000	36000	7815	274
ENCFF198GZQ	HepG2	TBP	HepG2	2959575	15836	25000	18270	4182	158
ENCFF198NGY	K562	ELK3	HepG2	2959575	15836	25000	1479	80	20
ENCFF198OOM	HepG2	SPEN	HepG2	2959575	15836	25000	27155	4955	201
ENCFF199CQK	K562	TAF7	HepG2	2959575	15836	25000	10551	519	100
ENCFF199GFU	K562	NR2C1	HepG2	2959575	15836	25000	23344	1384	220
ENCFF199NUD	HepG2	KAT7	HepG2	2959575	15836	25000	18719	3543	123
ENCFF200SDQ	HepG2	REST	HepG2	2959575	15836	25000	2469	35	19
ENCFF201DBE	A549	RARB	HepG2	2959575	15836	25000	5378	798	35
ENCFF202WIO	HepG2	PHF8	HepG2	2959575	15836	25000	5645	232	35
