ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF079EGS	K562	ZBTB5	A549	2959575	18142	25000	3061	488	23
ENCFF079ERC	K562	CSDE1	A549	2959575	18142	25000	1257	238	13
ENCFF079KQG	HepG2	ZNF768	A549	2959575	18142	25000	32306	6411	233
ENCFF079MYL	A549	ZSCAN20	A549	2959575	18142	25000	3330	1702	29
ENCFF079UOJ	HepG2	JUN	A549	2959575	18142	25000	18390	1747	152
ENCFF080KWE	K562	ZNF311	A549	2959575	18142	25000	7259	805	66
ENCFF080TIX	HepG2	RBAK	A549	2959575	18142	25000	5557	1073	49
ENCFF082DOH	K562	CBFA2T3	A549	2959575	18142	25000	49681	2837	401
ENCFF084BUP	K562	SMAD1	A549	2959575	18142	25000	8821	2891	60
ENCFF086TAD	K562	ATF4	A549	2959575	18142	25000	40125	2609	335
ENCFF086ZTC	HepG2	MAZ	A549	2959575	18142	25000	15118	5105	132
ENCFF088YXY	HepG2	RFX1	A549	2959575	18142	25000	5942	889	64
ENCFF089XCL	HepG2	RELA	A549	2959575	18142	25000	6509	2129	54
ENCFF090CEP	MCF-7	E2F4	A549	2959575	18142	25000	1221	240	4
ENCFF091NQE	MCF-7	ELF1	A549	2959575	18142	25000	21058	5777	148
ENCFF091TCH	K562	RBM15	A549	2959575	18142	25000	285	170	1
ENCFF092DLN	K562	RBM14	A549	2959575	18142	25000	2991	1191	31
ENCFF093AZT	HepG2	MTA3	A549	2959575	18142	25000	598	268	3
ENCFF096AYV	K562	ZNF518B	A549	2959575	18142	25000	722	88	11
ENCFF096EUR	HepG2	PPARGC1A	A549	2959575	18142	25000	88	28	3
ENCFF096JXF	MCF-7	E2F8	A549	2959575	18142	25000	1444	440	5
ENCFF099OSI	K562	HMG20B	A549	2959575	18142	25000	1158	284	12
ENCFF099RDJ	K562	PKNOX1	A549	2959575	18142	25000	48726	4435	402
ENCFF099SDO	HepG2	ZFX	A549	2959575	18142	25000	50692	11813	391
ENCFF101DBG	K562	TAL1	A549	2959575	18142	25000	26007	1322	222
ENCFF101SEZ	K562	SRF	A549	2959575	18142	25000	5318	1411	45
ENCFF102ZOU	HepG2	CHD2	A549	2959575	18142	25000	6944	2745	47
ENCFF102ZUM	HepG2	THRB	A549	2959575	18142	25000	16253	2591	128
ENCFF103YZQ	K562	GABPB2	A549	2959575	18142	25000	1432	297	18
ENCFF104XLA	HepG2	ZNF234	A549	2959575	18142	25000	5813	2338	33
ENCFF105VCL	HepG2	SIN3B	A549	2959575	18142	25000	5722	2275	47
ENCFF106ECV	K562	ESRRB	A549	2959575	18142	25000	999	199	10
ENCFF107EWI	A549	REST	A549	2959575	18142	25000	19366	7631	144
ENCFF108LBD	HepG2	SMAD7	A549	2959575	18142	25000	30671	7247	242
ENCFF108PPK	HepG2	ZNF510	A549	2959575	18142	25000	10865	3474	82
ENCFF109ADF	A549	FOXF2	A549	2959575	18142	25000	9379	3738	74
ENCFF110GDP	K562	ZNF282	A549	2959575	18142	25000	9608	2570	78
ENCFF110HVI	K562	TRIM25	A549	2959575	18142	25000	4899	608	43
ENCFF110MJW	HepG2	SIN3A	A549	2959575	18142	25000	21950	7266	168
ENCFF110OZO	A549	SP1	A549	2959575	18142	25000	43366	13649	321
ENCFF112JVK	MCF-7	FOXA1	A549	2959575	18142	25000	37406	1821	308
ENCFF113LBV	K562	KAT8	A549	2959575	18142	25000	1310	397	7
ENCFF114SGL	HepG2	TOPORS	A549	2959575	18142	25000	13290	4104	86
ENCFF115ENN	HepG2	ZNF576	A549	2959575	18142	25000	5507	1717	37
ENCFF115KRO	MCF-7	E2F1	A549	2959575	18142	25000	34683	9280	274
ENCFF115WXJ	MCF-7	NONO	A549	2959575	18142	25000	2157	288	15
ENCFF117XRE	K562	ZMYM3	A549	2959575	18142	25000	40976	1496	354
ENCFF118GMS	K562	CREB3L1	A549	2959575	18142	25000	17206	5493	118
ENCFF119AHD	K562	MAFF	A549	2959575	18142	25000	27899	1501	241
ENCFF119UOZ	HepG2	ZNF232	A549	2959575	18142	25000	16491	4719	124
ENCFF120BVS	HepG2	ZNF221	A549	2959575	18142	25000	23489	6083	165
ENCFF122FTW	K562	STAT5B	A549	2959575	18142	25000	608	31	10
ENCFF123EUU	K562	IRF1	A549	2959575	18142	25000	14203	3410	99
ENCFF123FQW	HepG2	HNF4G	A549	2959575	18142	25000	24929	3125	200
ENCFF123IHX	K562	CAMTA2	A549	2959575	18142	25000	2397	808	17
ENCFF124FTW	K562	BCOR	A549	2959575	18142	25000	41127	3843	349
ENCFF124KCE	K562	ZBTB43	A549	2959575	18142	25000	5010	1588	33
ENCFF124UUN	HepG2	KLF12	A549	2959575	18142	25000	15088	4990	127
ENCFF125ABN	HepG2	NR2F1	A549	2959575	18142	25000	14098	2121	111
ENCFF125GZU	K562	SOX6	A549	2959575	18142	25000	33001	4405	285
ENCFF125JED	A549	FOXA1	A549	2959575	18142	25000	33937	6138	284
ENCFF127ZZG	HepG2	NFIB	A549	2959575	18142	25000	2456	435	18
ENCFF128AZO	HepG2	TEAD1	A549	2959575	18142	25000	35111	5109	295
ENCFF128YWS	K562	MLX	A549	2959575	18142	25000	3313	734	27
ENCFF129FEV	A549	MAFK	A549	2959575	18142	25000	61032	3881	535
ENCFF129SBX	HepG2	HCFC1	A549	2959575	18142	25000	6433	2845	46
ENCFF130JVF	K562	BRD4	A549	2959575	18142	25000	9338	3464	86
ENCFF130LVT	HepG2	NFE2L2	A549	2959575	18142	25000	10440	1160	85
