,A549,HepG2,K562,MCF7
HepG2-TSC22D1,1,1,1,1
HepG2-TSC22D2,1,1,1,1
HepG2-U2AF1,1,1,1,1
HepG2-U2AF2,1,1,1,1
HepG2-UBTF,1,1,1,1
HepG2-USF1,1,1,1,1
HepG2-USF2,1,1,1,1
HepG2-WIZ,1,1,1,1
HepG2-XBP1,1,1,1,1
HepG2-XRCC5,1,1,1,1
HepG2-YEATS2,1,1,1,1
HepG2-YEATS4,1,1,1,1
HepG2-YY1,1,1,1,1
HepG2-ZBED4,1,1,1,1
HepG2-ZBED5,1,1,1,1
HepG2-ZBTB1,1,1,1,1
HepG2-ZBTB10,1,1,1,1
HepG2-ZBTB14,1,1,1,1
HepG2-ZBTB2,1,1,1,1
HepG2-ZBTB20,1,1,1,1
HepG2-ZBTB21,1,1,1,1
HepG2-ZBTB24,1,1,1,1
HepG2-ZBTB25,1,1,1,1
HepG2-ZBTB26,1,1,1,1
HepG2-ZBTB3,1,1,1,1
HepG2-ZBTB33,1,1,1,1
HepG2-ZBTB34,1,1,1,1
HepG2-ZBTB37,1,1,1,1
HepG2-ZBTB38,1,1,1,1
HepG2-ZBTB39,1,1,1,1
HepG2-ZBTB4,1,1,1,1
HepG2-ZBTB40,1,1,1,1
HepG2-ZBTB42,1,1,1,1
HepG2-ZBTB43,1,1,1,1
HepG2-ZBTB44,1,1,1,1
HepG2-ZBTB46,1,1,1,1
HepG2-ZBTB49,1,1,1,1
HepG2-ZBTB7A,1,1,1,1
HepG2-ZBTB7B,1,1,1,1
HepG2-ZBTB8A,1,1,1,1
HepG2-ZC3H13,1,1,1,1
HepG2-ZC3H4,1,1,1,1
HepG2-ZC3H8,1,1,1,1
HepG2-ZCCHC11,1,1,1,1
HepG2-ZEB1,1,1,1,1
HepG2-ZFAT,1,1,1,1
HepG2-ZFHX3,1,1,1,1
HepG2-ZFP1,1,1,1,1
HepG2-ZFP14,1,1,1,1
HepG2-ZFP36,1,1,1,1
HepG2-ZFP36L1,1,1,1,1
HepG2-ZFP36L2,1,1,1,1
HepG2-ZFP37,1,1,1,1
HepG2-ZFP41,1,1,1,1
HepG2-ZFP62,1,1,1,1
HepG2-ZFP64,1,1,1,1
HepG2-ZFP82,1,1,1,1
HepG2-ZFP90,1,1,1,1
HepG2-ZFP91,1,1,1,1
HepG2-ZFX,1,1,1,1
HepG2-ZFY,1,1,1,1
HepG2-ZFYVE20,1,1,1,1
HepG2-ZGPAT,1,1,1,1
HepG2-ZHX1,1,1,1,1
HepG2-ZHX2,1,1,1,1
HepG2-ZHX3,1,1,1,1
HepG2-ZIK1,1,1,1,1
HepG2-ZKSCAN1,1,1,1,1
HepG2-ZKSCAN5,1,1,1,1
HepG2-ZKSCAN8,1,1,1,1
HepG2-ZMAT3,1,1,1,1
HepG2-ZMAT5,1,1,1,1
HepG2-ZMYM2,1,1,1,1
HepG2-ZMYM3,1,1,1,1
HepG2-ZMYM4,1,1,1,1
HepG2-ZNF10,1,1,1,1
HepG2-ZNF101,1,1,1,1
HepG2-ZNF12,1,1,1,1
HepG2-ZNF121,1,1,1,1
HepG2-ZNF124,1,1,1,1
HepG2-ZNF136,1,1,1,1
HepG2-ZNF138,1,1,1,1
HepG2-ZNF142,1,1,1,1
HepG2-ZNF143,1,1,1,1
HepG2-ZNF146,1,1,1,1
HepG2-ZNF160,1,1,1,1
HepG2-ZNF17,1,1,1,1
HepG2-ZNF18,1,1,1,1
HepG2-ZNF180,1,1,1,1
HepG2-ZNF181,1,1,1,1
HepG2-ZNF20,1,1,1,1
HepG2-ZNF205,1,1,1,1
HepG2-ZNF207,1,1,1,1
HepG2-ZNF217,1,1,1,1
HepG2-ZNF219,1,1,1,1
HepG2-ZNF221,1,1,1,1
HepG2-ZNF224,1,1,1,1
HepG2-ZNF225,1,1,1,1
HepG2-ZNF230,1,1,1,1
HepG2-ZNF232,1,1,1,1
HepG2-ZNF234,1,1,1,1
HepG2-ZNF235,1,1,1,1
HepG2-ZNF24,1,1,1,1
HepG2-ZNF25,1,1,1,1
HepG2-ZNF251,1,1,1,1
HepG2-ZNF253,1,1,1,1
HepG2-ZNF256,1,1,1,1
HepG2-ZNF260,1,1,1,1
HepG2-ZNF263,1,1,1,1
HepG2-ZNF264,1,1,1,1
HepG2-ZNF275,1,1,1,1
HepG2-ZNF276,1,1,1,1
HepG2-ZNF280B,1,1,1,1
HepG2-ZNF280D,1,1,1,1
HepG2-ZNF281,1,1,1,1
HepG2-ZNF282,1,1,1,1
HepG2-ZNF292,1,1,1,1
HepG2-ZNF296,1,1,1,1
HepG2-ZNF3,1,1,1,1
HepG2-ZNF30,1,1,1,1
HepG2-ZNF317,1,1,1,1
HepG2-ZNF318,1,1,1,1
HepG2-ZNF326,1,1,1,1
HepG2-ZNF329,1,1,1,1
HepG2-ZNF331,1,1,1,1
HepG2-ZNF333,1,1,1,1
HepG2-ZNF335,1,1,1,1
HepG2-ZNF337,1,1,1,1
HepG2-ZNF33A,1,1,1,1
HepG2-ZNF33B,1,1,1,1
HepG2-ZNF34,1,1,1,1
HepG2-ZNF343,1,1,1,1
HepG2-ZNF350,1,1,1,1
HepG2-ZNF354B,1,1,1,1
HepG2-ZNF362,1,1,1,1
HepG2-ZNF367,1,1,1,1
HepG2-ZNF382,1,1,1,1
HepG2-ZNF383,1,1,1,1
HepG2-ZNF384,1,1,1,1
HepG2-ZNF407,1,1,1,1
HepG2-ZNF414,1,1,1,1
HepG2-ZNF430,1,1,1,1
HepG2-ZNF431,1,1,1,1
HepG2-ZNF432,1,1,1,1
HepG2-ZNF44,1,1,1,1
HepG2-ZNF441,1,1,1,1
HepG2-ZNF446,1,1,1,1
HepG2-ZNF451,1,1,1,1
HepG2-ZNF460,1,1,1,1
HepG2-ZNF468,1,1,1,1
HepG2-ZNF48,1,1,1,1
HepG2-ZNF483,1,1,1,1
HepG2-ZNF484,1,1,1,1
HepG2-ZNF485,1,1,1,1
HepG2-ZNF490,1,1,1,1
HepG2-ZNF496,1,1,1,1
HepG2-ZNF501,1,1,1,1
HepG2-ZNF503,1,1,1,1
HepG2-ZNF510,1,1,1,1
HepG2-ZNF511,1,1,1,1
HepG2-ZNF512,1,1,1,1
HepG2-ZNF512B,1,1,1,1
HepG2-ZNF513,1,1,1,1
HepG2-ZNF526,1,1,1,1
HepG2-ZNF527,1,1,1,1
HepG2-ZNF530,1,1,1,1
HepG2-ZNF543,1,1,1,1
HepG2-ZNF546,1,1,1,1
HepG2-ZNF547,1,1,1,1
HepG2-ZNF548,1,1,1,1
HepG2-ZNF549,1,1,1,1
HepG2-ZNF550,1,1,1,1
HepG2-ZNF552,1,1,1,1
HepG2-ZNF556,1,1,1,1
HepG2-ZNF557,1,1,1,1
HepG2-ZNF558,1,1,1,1
HepG2-ZNF562,1,1,1,1
HepG2-ZNF563,1,1,1,1
HepG2-ZNF564,1,1,1,1
HepG2-ZNF567,1,1,1,1
HepG2-ZNF569,1,1,1,1
HepG2-ZNF570,1,1,1,1
HepG2-ZNF571,1,1,1,1
HepG2-ZNF572,1,1,1,1
HepG2-ZNF574,1,1,1,1
HepG2-ZNF576,1,1,1,1
HepG2-ZNF577,1,1,1,1
HepG2-ZNF580,1,1,1,1
HepG2-ZNF589,1,1,1,1
HepG2-ZNF597,1,1,1,1
HepG2-ZNF598,1,1,1,1
HepG2-ZNF605,1,1,1,1
HepG2-ZNF607,1,1,1,1
HepG2-ZNF608,1,1,1,1
HepG2-ZNF609,1,1,1,1
HepG2-ZNF614,1,1,1,1
HepG2-ZNF615,1,1,1,1
HepG2-ZNF616,1,1,1,1
HepG2-ZNF619,1,1,1,1
HepG2-ZNF629,1,1,1,1
HepG2-ZNF639,1,1,1,1
HepG2-ZNF644,1,1,1,1
HepG2-ZNF646,1,1,1,1
HepG2-ZNF652,1,1,1,1
HepG2-ZNF660,1,1,1,1
HepG2-ZNF670,1,1,1,1
HepG2-ZNF672,1,1,1,1
HepG2-ZNF674,1,1,1,1
HepG2-ZNF678,1,1,1,1
HepG2-ZNF687,1,1,1,1
HepG2-ZNF691,1,1,1,1
HepG2-ZNF697,1,1,1,1
HepG2-ZNF7,1,1,1,1
HepG2-ZNF703,1,1,1,1
HepG2-ZNF704,1,1,1,1
HepG2-ZNF707,1,1,1,1
HepG2-ZNF709,1,1,1,1
HepG2-ZNF710,1,1,1,1
HepG2-ZNF713,1,1,1,1
HepG2-ZNF720,1,1,1,1
HepG2-ZNF724P,1,1,1,1
HepG2-ZNF737,1,1,1,1
HepG2-ZNF740,1,1,1,1
HepG2-ZNF746,1,1,1,1
HepG2-ZNF747,1,1,1,1
HepG2-ZNF749,1,1,1,1
HepG2-ZNF75D,1,1,1,1
HepG2-ZNF761,1,1,1,1
HepG2-ZNF766,1,1,1,1
HepG2-ZNF768,1,1,1,1
HepG2-ZNF770,1,1,1,1
HepG2-ZNF772,1,1,1,1
HepG2-ZNF773,1,1,1,1
HepG2-ZNF775,1,1,1,1
HepG2-ZNF776,1,1,1,1
