ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF364DXQ	HepG2	ZNF598	K562	2959575	15496	25000	16808	2212	142
ENCFF365ETH	K562	GMEB1	K562	2959575	15496	25000	29386	8821	246
ENCFF366KEF	HepG2	TMF1	K562	2959575	15496	25000	11177	1510	95
ENCFF366XDW	K562	NFE2L1	K562	2959575	15496	25000	6376	1294	54
ENCFF368IYV	HepG2	IRF1	K562	2959575	15496	25000	4262	651	32
ENCFF370XOM	HepG2	STAT5B	K562	2959575	15496	25000	4662	709	37
ENCFF370YGS	K562	TBP	K562	2959575	15496	25000	22040	6125	175
ENCFF371EUY	HepG2	ZNF709	K562	2959575	15496	25000	17471	2337	127
ENCFF371LUB	HepG2	IKZF5	K562	2959575	15496	25000	31019	3947	256
ENCFF371SJR	K562	ATF7	K562	2959575	15496	25000	47215	11612	397
ENCFF372DFI	HepG2	MXD3	K562	2959575	15496	25000	17553	2445	134
ENCFF372PXU	HepG2	E2F2	K562	2959575	15496	25000	6782	1096	49
ENCFF372YFU	K562	THAP7	K562	2959575	15496	25000	3491	975	33
ENCFF373JGX	HepG2	ZNF407	K562	2959575	15496	25000	20345	2569	134
ENCFF373KUZ	HepG2	ZNF101	K562	2959575	15496	25000	3936	668	39
ENCFF373NIO	A549	NFE2L2	K562	2959575	15496	25000	8113	864	82
ENCFF373SRR	HepG2	TFDP1	K562	2959575	15496	25000	23315	3229	182
ENCFF374HXP	HepG2	ZBTB4	K562	2959575	15496	25000	15190	1896	129
ENCFF375SIS	K562	ID3	K562	2959575	15496	25000	18818	6234	159
ENCFF376CUV	HepG2	KDM6A	K562	2959575	15496	25000	14004	1100	124
ENCFF378GRS	HepG2	GMEB2	K562	2959575	15496	25000	5589	1169	42
ENCFF380KJB	K562	ZNF398	K562	2959575	15496	25000	1015	296	11
ENCFF381ULU	MCF-7	GATA3	K562	2959575	15496	25000	15137	665	129
ENCFF381WCL	HepG2	MTA1	K562	2959575	15496	25000	23103	2429	171
ENCFF382CUT	K562	ILF3	K562	2959575	15496	25000	3454	968	22
ENCFF382QUI	K562	ZNF277	K562	2959575	15496	25000	1535	70	14
ENCFF382YJO	HepG2	RXRA	K562	2959575	15496	25000	20385	1753	156
ENCFF383IEP	K562	SAP30	K562	2959575	15496	25000	14291	2258	123
ENCFF384TZN	HepG2	ZBTB25	K562	2959575	15496	25000	19576	2787	159
ENCFF385DPO	HepG2	HOXA5	K562	2959575	15496	25000	20921	2745	167
ENCFF385LDF	MCF-7	MYC	K562	2959575	15496	25000	9492	894	89
ENCFF385UIF	HepG2	ZNF697	K562	2959575	15496	25000	15367	1977	140
ENCFF386FQQ	MCF-7	NR2F2	K562	2959575	15496	25000	34449	2088	264
ENCFF386ZWO	K562	CBX3	K562	2959575	15496	25000	24867	6190	212
ENCFF387KML	HepG2	ETV6	K562	2959575	15496	25000	9770	1509	69
ENCFF387PJU	HepG2	RAD51	K562	2959575	15496	25000	6689	475	55
ENCFF388IZF	HepG2	ZNF484	K562	2959575	15496	25000	2230	312	17
ENCFF388KGW	K562	GATAD2B	K562	2959575	15496	25000	13601	4436	120
ENCFF389YCG	HepG2	ZNF138	K562	2959575	15496	25000	8897	1282	51
