BDP1	-1.0609760787633346e-05
CBFA2T3	-1.1578883554962486e-05
CREB1	-1.1708966032479481e-05
ETS1	-1.1752196060989105e-05
POLR3G	-1.1889854271739576e-05
UBTF	-1.221592164163247e-05
PRDM10	-1.2315121095635206e-05
SOX6	-1.2437670217201575e-05
SMAD2	-1.2657485969969604e-05
MYNN	-1.2809664407299682e-05
SMARCC2	-1.2833196417786564e-05
LARP7	-1.306581800793689e-05
RCOR1	-1.3144450552438435e-05
POU5F1	-1.3221029006020187e-05
ZNF639	-1.3368366641016455e-05
ZMYM3	-1.3447862181602907e-05
GTF3C2	-1.3630153599376717e-05
TRIM24	-1.3706437578213575e-05
HMGN3	-1.3887613824458231e-05
SAFB2	-1.4121805426995829e-05
TSC22D4	-1.419646870613947e-05
JUN	-1.462803512370428e-05
ZMIZ1	-1.529285874370335e-05
ETV6	-1.5544499341093528e-05
CHD7	-1.6066005819901132e-05
SMARCE1	-1.6075460769956276e-05
SRF	-1.61373922538239e-05
PHF20	-1.7214607627323906e-05
IRF9	-1.777099453174361e-05
CHD4	-1.7776757451066388e-05
HMBOX1	-1.780920128977362e-05
CHAMP1	-1.854473315807247e-05
TRIM25	-1.856064209252645e-05
RUNX1	-1.8645882037065618e-05
MTA2	-1.8767776224531183e-05
TARDBP	-1.8923265243879047e-05
PYGO2	-1.8955790585299213e-05
NKRF	-1.9005883761594422e-05
ARNT	-1.9388965527094916e-05
TAF15	-1.9539740779829704e-05
ILK	-1.9610388088068382e-05
BRF1	-1.9849363338847757e-05
RFX5	-2.0587537830465505e-05
U2AF2	-2.1252194191611212e-05
MAX	-2.128430515239045e-05
PTBP1	-2.17222859452915e-05
YBX1	-2.352811894635951e-05
HDAC2	-2.3763314190563296e-05
HES1	-2.486074479404655e-05
RNF2	-2.5651597466421442e-05
SRSF7	-2.590637605137976e-05
CEBPG	-2.6573155101194418e-05
ATF2	-2.6597805389779018e-05
CDC5L	-2.680696297701416e-05
ZNF766	-2.7476332111168857e-05
ZBTB2	-2.754285842462017e-05
PCBP1	-2.7698849336145148e-05
HNRNPK	-2.7806119193247738e-05
TAL1	-2.8682071752132777e-05
RAD21	-2.9911567788318944e-05
SUPT5H	-3.042928892278915e-05
ELK1	-3.061127689027734e-05
RBM22	-3.073788861043569e-05
ESRRA	-3.092055654570495e-05
ZBTB5	-3.223415865086086e-05
ZBTB7A	-3.233861056380943e-05
SP2	-3.2591743866756095e-05
MLLT1	-3.421643889883363e-05
E2F7	-3.4653734361353454e-05
MAFF	-3.500198086459978e-05
MIER1	-3.653757502781314e-05
FOXA1	-3.77509560680287e-05
ZBTB33	-3.8301091684814015e-05
E2F1	-3.859846241639495e-05
U2AF1	-3.990915685727481e-05
HINFP	-4.1842815756308935e-05
POLR2A	-4.270570190356632e-05
SETDB1	-4.271657053647801e-05
ETS2	-4.347317975878843e-05
GTF2F1	-4.6003132549989166e-05
ZFX	-4.665503391156082e-05
SP1	-4.7681536514853655e-05
HNRNPH1	-4.8263770953600834e-05
SMARCB1	-4.843962372193216e-05
SMAD5	-4.884906425273189e-05
ID3	-4.918477864309713e-05
GTF2B	-5.0302513904109934e-05
USF1	-5.0329068045852175e-05
FOXM1	-5.046423900411111e-05
DNMT1	-5.286243972553271e-05
THAP1	-5.629736109870457e-05
TCF7L2	-5.742200266042824e-05
HNRNPUL1	-5.7887560027811556e-05
USF2	-6.1001000919426896e-05
ZNF407	-6.389687845875225e-05
CBX8	-8.309655811623746e-05
NFXL1	-8.612699591630745e-05
ATF1	-8.96276482169768e-05
KLF13	-9.284076177628119e-05
RBM25	-0.00010182375266571654
SIN3A	-0.00010563809550628792
RBBP5	-0.00011026335909593282
AGO1	-0.00011144470966016493
TRIP13	-0.00011611727523965041
CBFA2T2	-0.00012279693866708454
MEF2A	-0.00012966910340191128
TAF7	-0.00013029226003539977
CSDE1	-0.00013084726462401602
BACH1	-0.000149920944483022
POLR3A	-0.00020154304361000118
PTRF	-0.00022440506256243448
H3K79me2	-0.0002590048255278102
PBX2	-0.00037135144303298336
SMARCA5	-0.00038473105295585517
MEIS2	-0.0006042447339166383
POLR2AphosphoS5	-0.0006880218315403684
ZC3H11A	-0.0007268083479941858
H3K36me3	-0.0007534322774531775
ZNF316	-0.0009337460349065365
IKZF1	-0.001259186344743628
RAD51	-0.001489157375143066
E2F6	-0.0015446967729486674
PML	-0.009058044026128219
RFX1	-0.010575764679373552
NFE2	-0.016537343069262363
KLF1	-0.03512614595145948
ZNF146	-0.05167066627790519
MEF2D	-0.053169959086704494
KLF16	-0.06249931858399344
HNRNPL	-0.0644855389458799
MTA1	-0.11218987910212393
KAT2B	-0.22579614967427716
PTTG1	-0.23615434269393978
FUS	-0.301722854218444
ZBED1	-0.5033007068479024
BHLHE40	-1.1232964643298196
POLR2AphosphoS2	-1.4394376204019885
